
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    192.168.0.162:53589    2.18.29.210:443        CLOSE_WAIT      13604
  TCP    192.168.0.162:53701    23.64.232.104:443      ESTABLISHED     22516
  TCP    192.168.0.162:53703    172.205.25.163:443     ESTABLISHED     21248
  TCP    192.168.0.162:53705    3.211.151.47:443       CLOSE_WAIT      21248
  TCP    192.168.0.162:53706    3.211.151.47:443       CLOSE_WAIT      21248
  TCP    192.168.0.162:53707    3.211.151.47:443       CLOSE_WAIT      21248
  TCP    192.168.0.162:53716    185.136.68.145:443     FIN_WAIT_2      5580
  TCP    192.168.0.162:53723    18.245.46.66:443       TIME_WAIT       0
  TCP    192.168.0.162:53724    18.245.60.101:443      TIME_WAIT       0
  TCP    192.168.0.162:53725    172.64.155.209:443     ESTABLISHED     21168
  TCP    192.168.0.162:53726    18.66.102.125:443      TIME_WAIT       0
  TCP    192.168.0.162:53727    18.66.102.125:443      TIME_WAIT       0
  TCP    192.168.0.162:53728    76.223.63.197:443      TIME_WAIT       0
  TCP    192.168.0.162:53730    76.223.63.197:443      TIME_WAIT       0
  TCP    192.168.0.162:53731    76.223.63.197:443      TIME_WAIT       0
  TCP    192.168.0.162:53732    76.223.63.197:443      TIME_WAIT       0
  TCP    192.168.0.162:53733    185.136.68.145:443     FIN_WAIT_2      5580
  TCP    192.168.0.162:53743    192.168.0.162:53744    ESTABLISHED     12416
  TCP    192.168.0.162:53743    192.168.0.162:53747    ESTABLISHED     12416
  TCP    192.168.0.162:53743    192.168.0.162:53748    ESTABLISHED     12416
  TCP    192.168.0.162:53743    192.168.0.162:53749    ESTABLISHED     12416
  TCP    192.168.0.162:53744    192.168.0.162:53743    ESTABLISHED     27008
  TCP    192.168.0.162:53747    192.168.0.162:53743    ESTABLISHED     27008
  TCP    192.168.0.162:53748    192.168.0.162:53743    ESTABLISHED     27008
  TCP    192.168.0.162:53749    192.168.0.162:53743    ESTABLISHED     27008
  TCP    [::]:135               [::]:0                 LISTENING       1788
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       6688
  TCP    [::]:7680              [::]:0                 LISTENING       4616
  TCP    [::]:8080              [::]:0                 LISTENING       12416
  TCP    [::]:11021             [::]:0                 LISTENING       4
  TCP    [::]:33060             [::]:0                 LISTENING       6688
  TCP    [::]:35729             [::]:0                 LISTENING       12416
  TCP    [::]:36450             [::]:0                 LISTENING       20832
  TCP    [::]:49664             [::]:0                 LISTENING       1556
  TCP    [::]:49665             [::]:0                 LISTENING       1448
  TCP    [::]:49666             [::]:0                 LISTENING       2576
  TCP    [::]:49667             [::]:0                 LISTENING       2836
  TCP    [::]:49668             [::]:0                 LISTENING       4972
  TCP    [::]:49676             [::]:0                 LISTENING       1520
  TCP    [::]:53743             [::]:0                 LISTENING       12416
  TCP    [::1]:8080             [::1]:53751            ESTABLISHED     12416
  TCP    [::1]:11021            [::1]:49760            ESTABLISHED     4
  TCP    [::1]:11021            [::1]:53542            ESTABLISHED     4
  TCP    [::1]:49669            [::]:0                 LISTENING       5368
  TCP    [::1]:49760            [::1]:11021            ESTABLISHED     11028
  TCP    [::1]:49886            [::]:0                 LISTENING       22516
  TCP    [::1]:53542            [::1]:11021            ESTABLISHED     11028
  TCP    [::1]:53618            [::]:0                 LISTENING       18528
  TCP    [::1]:53751            [::1]:8080             ESTABLISHED     21168
  UDP    0.0.0.0:123            *:*                                    1848
  UDP    0.0.0.0:1900           *:*                                    20832
  UDP    0.0.0.0:5050           *:*                                    11880
  UDP    0.0.0.0:5353           *:*                                    5816
  UDP    0.0.0.0:5353           *:*                                    3084
  UDP    0.0.0.0:5353           *:*                                    5816
  UDP    0.0.0.0:5355           *:*                                    3084
  UDP    0.0.0.0:9527           *:*                                    11020
  UDP    0.0.0.0:27036          *:*                                    21160
  UDP    0.0.0.0:36450          *:*                                    20832
  UDP    0.0.0.0:53524          *:*                                    5692
  UDP    0.0.0.0:53933          *:*                                    3084
  UDP    127.0.0.1:1900         *:*                                    9580
  UDP    127.0.0.1:5353         *:*                                    5692
  UDP    127.0.0.1:10010        *:*                                    13212
  UDP    127.0.0.1:53523        127.0.0.1:53523                        4156
  UDP    127.0.0.1:62696        *:*                                    20832
